No,Ionizable lipid,Helper lipid,Cholesterol,PEG,Additional component,,Organ,,Ionizable lipid(S),Helper lipid(S),Cholesterol(S),PEG(S),Additional component(S),,,,Ionizable lipid(M),Helper lipid(M),Cholesterol(M),PEG(M),Additional component(M)
39,11A1P12,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCCC)CCCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
40,10A1P13,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
41,9A1P14,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
42,10A1P14,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
43,9A1P15,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
44,10A1P15,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
45,8A1P16,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)CCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
46,9A1P16,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
47,10A1P16,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
48,16A1P14,MDOA,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
